Subject,Code,Type,Semester,RequirementOf,Goal,About
Introdução à Geometria Computacional: Algoritmos e Aplicações,SCC0254,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Apresentar conceitos e métodos básicos de Geometria Computacional, com foco nos algoritmos, estruturas de dados e em aplicações dos métodos em computação gráfica, robótica e programação competitiva. A disciplina deverá abordar como a Geometria Computacional permite modelar problemas de computação gráfica e ainda apresentar aspectos práticos da implementação de algoritmos comumente estudados em competições de programação.","Preliminares: conceitos geométricos, tais como dualidade, modelos computacionais e limitantes inferiores. Triangulação de polígonos: teoria, primitivas geométricas, problemas de galeria de arte, algoritmos, questões de implementação. Fechos Convexos: propriedades e algoritmos. Arranjos: combinatória e arranjos, teorema de zona, algoritmos ""sweep"", seqüências de Davenport-Schinzel. Teoremas de proximidade: triangulação de Voronoi e Delaunay. Métodos Geométricos para localização: localização de pontos em coleções de hipersuperfícies, cascata fracionária. Técnicas de amostragem aleatórias. Visibilidade e problemas de distâncias mínimas. Planejamento do movimento de robôs: somas de Minkowski, Decomposição de Células, Movimento com 2 e 3 graus de liberdade. Problemas de programação competitiva: construção de bibliotecas para manipulação de pontos, linhas, círculos, triângulos e quadriláteros."
Introdução à Bioinformática,SCC0271,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"O aprendizado dos conceitos básicos, principais técnicas, perspectivas futuras e aplicações de Bioinformática.","Biologia molecular, Análise de seqüências, Reconhecimento de genes, Alinhamento de seqüências, Uso de cadeias de Markov em dados biológicos, Variação dentro e entre espécies, Seleção natural em nível molecular, Análise filogenética, Comparação de genomas, Análise de expressão gênica, Identificação de seqüências regulatórias, Aplicações."
Robôs Móveis Inteligentes,SCC0273,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Introduzir ao aluno conceitos de robótica inteligente, apresentando as principais técnicas de controle inteligente, a eficiência destes métodos quando usados adequadamente, perspectivas futuras e aplicações de Robótica Móvel.","Estudo de algoritmos bio-inspirados, campo potencial e suas modificações, algoritmo Q-learning. Controle de múltiplos móveis com aplicação a futebol de robôs. Time de futebol USPDroids. Interação Homem-máquina. Humanóides: um estudo de caso: robô NAO. Desenvolvimento de projetos em laboratório utilizando simuladores e robôs reais."
Introdução à Ciência de Dados,SCC0275,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Complementar a formação dos alunos de graduação em Computação com interesse em conhecer os principais conceitos e técnicas da área de Ciência de Dados. O curso visa prover teoria e prática a fim de que os alunos possam aplicar as novas técnicas e ferramentas estudadas em problemas reais.,"Introdução à ciência de dados. Descoberta de conhecimento em bases de dados, mineração de dados. Exploração de dados: caracterização de dados (objetos e atributos; tipos de dados); dados univariados; dados multivariados; visualização. Pré-processamento: qualidade de dados, limpeza dos dados, valores inconsistentes, objetos redundantes, ruído, outliers, dados desbalanceados. Transformação, conversão. Planejamento de experimentos: modelagem, desempenho (preditivo, custo), amostragem (hold-out, reamostragem), classificação binária. Análise de resultados experimentais: medidas de avaliação, gráficos ROC. Medidas de distância: estudo de algoritmo preditivo simples (k-NN).
Atividades de Extensão: Os alunos podem conduzir trabalhos práticos em tópicos de interesse da sociedade, por exemplo, lidando com dados populacionais do censo recente, estudando padrões de mudanças climáticas conforme registros históricos, etc, produzindo vídeos e palestras sobre o assunto.
Carga horária: 10 horas."
Competições de Ciências de Dados,SCC0277,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Complementar a formação dos alunos de graduação em Computação com interesse em utilizar técnicas de Ciência de Dados, em particular, Aprendizado de Máquina e Mineração de Dados, em problemas reais, utilizando para isso as técnicas e ferramentas vistas em disciplinas relacionadas.",Pré-processamento de dados e criação de modelos utilizando técnicas descritivas e preditivas. Análise de desempenho.
Acessibilidade em Sistemas Computacionais,SCC0280,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Fornecer aos alunos  uma visão integrada (em termos de legislação, dos recursos de Tecnologia Assistiva, e os princípios de design inclusivo)  sobre a questão de acessibilidade como um conceito fundamental  ao desenvolvimento dos sistemas computacionais.","Acessibilidade em Sistemas Computacionais e a norma ISO 9241-171. Legislação de acessibilidade e implicações para sistemas computacionais. Aspectos físicos e psicológicos de deficiências físicas e cognitivas e implicações para sistemas computacionais. Conceito de   Tecnologia Assistiva para pessoas com deficiência . Princípios de design inclusivo. Técnicas para design de sistemas computacionais acessíveis e avaliação da acessibilidade de sistemas computacionais.
Atividades de Extensão: Os estudantes podem desenvolver um projeto Web ou Mobile pensando no requisito de acessibilidade para a interface. Neste projeto prático da disciplina, os alunos podem pensar soluções de design que atendam ONGs, escolas e instituições da cidade. A etapa de design pode ser feita de forma conjunta com essas instituições e ao fim o projeto de design pode ser entregue às instituições. Os alunos podem ainda fazer análise de soluções já existentes das instituições para verificar se atendem aos requisitos de acessibilidade. Os alunos podem ainda ministrar cursos e palestras sobre as boas práticas aprendidas na disciplina para funcionários de empresas, ou ainda preparar/disponibilizar material online para outros alunos e profissionais da área.
Carga Horária: 15 horas."
Introdução à Web Semântica,SCC0283,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Introduzir o aluno às técnicas, teorias e modelos utilizados na Web Semântica, tornando-o apto a desenvolver recursos, ferramentas e aplicações computacionais que envolvam a aplicação desse conhecimento na resolução de problemas na área de aplicações Web. Capacitar o aluno para discutir criticamente tópicos pertinentes à área e propiciar-lhe subsídios para desenvolvimento de pesquisas.","Linked Data e RDF 1. Web Semântica: Definição e objetivos. 2. RDF e RDFS: Conceitos de triplas 3. Linked Data: Conceitos, SPARQL language e triplestores. 4. Ontologias, Lógica Descritiva e OWL - Web Ontology Language. 5. Perfis do OWL: OWL-EL, OWL-QL e OWL-RL 6. Aplicações: Criando uma ontologia e usando classificadores (sugestão Protégé) 7. Shapes Constraint Language and SWRL - Semantic Web Rule Language"
Mineração de Dados Não Estruturados,SCC0287,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Apresentar ao aluno os princípios gerais da mineração de dados não estruturados e fornecer uma visão geral dos problemas relacionados aos diferentes tipos de dados não estruturados e as soluções disponíveis.,"Introdução à mineração de dados não estruturados. Fundamentos: identificação de problemas; pré-processamento de dados; extração de padrões; e pós-processamento. Tópicos especiais: mineração de textos, mineração de opiniões e análise de sentimentos, mineração de web, mineração de redes, mineração de dados temporais, e mineração de imagens, dentre outros.
Atividades de Extensão:
Os estudantes podem desenvolver projetos de mineração de dados não estruturados a partir de dados governamentais abertos a partir de portais de dados de órgãos municipais, estaduais e federais, visando monitoramento, transparência e controle social.
Carga horária: 10 horas."
Tópicos Avançados em Ciências de Computação II,SCC0911,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Apresentar aos alunos ideias mais avançadas de tópicos em Ciências de Computação, incluindo teoria e prática.",Apresentação da motivação para escolha do tema da disciplina. Implicações no universo da Ciência de Computação. Teoria que fundamenta o tema e suas ramificações. Exemplos de aplicação. Trabalho teórico e/ou prático.
Séries Temporais e Aprendizado Dinâmico,SME0808,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Apresentar os conceitos básicos da teoria de tratamento estatístico de séries temporais, preparar o aluno para análise, identificação e previsão de uma série temporal.","1. Séries temporais: conceito, suavização, tendência, sazonalidade, alisamento exponencial. 
2. Séries estacionárias. 
3. Função de autocovariância e autocorrelação. 
4. Modelos: ARMA, ARIMA, SARIMA. 
5. Identificação. 
6. Estimação. 
7. Previsão. 
8. Diagnósticos. 
9. indexação: similaridade/dissimilaridade, agrupamento, sumarização e segmentação 
10. Modelos estruturais: espaço de estado e previsão bayesiana."
Análise Multivariada e Aprendizado Não Supervisionado,SME0822,Disciplinas Optativas Eletivas,8º Semestre Ideal,SME0878; SME0878,Estudo de métodos multivariados de análise de dados e de aprendizado não supervisionado. Análise de variância multivariada. Análise de componentes principais. Análise fatorial. Análise de Agrupamentos Análise de correlação canônica. Análise de correspondência.,"Vetores aleatórios. Vetor de médias e matriz de covariâncias amostrais. Visualização de dados multivariados Distribuição normal multivariada e verificação de normalidade multivariada. Análise de variância multivariada. Métodos de redução de dimensionalidade: análise de componentes principais, análise fatorial, análise de correlação canônica e análise de correspondência. Análise de agrupamentos (clustering): K-médias e técnicas de agrupamento hierárquico."
Modelos de Regressão e Aprendizado Supervisionado II,SME0823,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Apresentar conceitos introdutórios de modelos lineares generalizados em um enfoque computacional.,Aprendizado Supervisionado versus Aprendizado Não-Supervisionado. Modelos Lineares Generalizados: Definição. Função desvio. Métodos de Estimação. Teste de hipóteses. Técnicas de diagnóstico. Aplicações: Modelos Lineares Generalizados versus Classificação. Regressão Logística: Métodos clássicos. Regressão Logística linear. Modelos de dose-resposta. Técnicas de diagnóstico. Seleção de modelos. Aplicações. Regressão de Poisson: Métodos clássicos. Modelos log-lineares. Classificação de modelos. Regressão Logística Múltipla. Aplicações. Modelos de Quase-Verrossimilhança: Definição. Estimação e Testes. Aplicações. Avaliação da capacidade preditiva dos modelos. Compromisso entre viés e variância.
Tópicos Especiais em Engenharia de Software,SSC0123,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Complementar a formação dos alunos em Engenharia de Software abordando com mais profundidade tópicos atuais e relevantes nesta área.,"Estudo aprofundado de tópicos de Engenharia de Software, incluindo, não de forma exclusiva, os seguintes: aspectos de custo e estimativa de desenvolvimento de software, especificações formais de software, ambientes de desenvolvimento de software, teste e validação de software, sistemas de gerenciamento de bases de dados para projetos de software e aplicação de técnicas de inteligência artificial em engenharia de software."
Gerência de Projetos,SSC0128,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Apresentar conhecimentos, habilidades e técnicas utilizadas na iniciação, planejamento, execução, controle e encerramento de um projeto.","Conceitos de Projeto, Ciclo de vida e organização do projeto, Processos de gerenciamento de projetos de um projeto: Gerenciamento de integração do projeto, Gerenciamento do escopo do projeto, Gerenciamento de tempo do projeto, Gerenciamento de custos do projeto, Gerenciamento da qualidade do projeto,  Gerenciamento de recursos humanos do projeto, Gerenciamento das comunicações do projeto,  Gerenciamento de riscos do projeto, Gerenciamento de aquisições do projeto.

Atividades de extensão: Documentação de exemplos de projetos em que são elaboradas soluções referentes à gerência dos projetos para utilização por outros alunos de diversos cursos relacionados à computação. A carga horária corresponde a 15 horas."
Administração e Gerenciamento de Redes,SSC0152,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Treinamento do aluno em aspectos de especificação, instalação, e administração de sistemas computacionais baseados em redes de computadores.","Revisão de conceitos de redes, especificamente IP (roteamento), TCP (transmissão confiável de pacotes, portas e sockets) e conectividade (cabeamento e equipamentos de conexão de redes). Instalação e configuração de serviços de rede: montagem de roteadores (física e lógica),  servidores (WEB, DNS, Mail, Proxy), integração de redes Windows e Linux (protocolo NetBios), segurança (firewall e VPNs) e gerenciamento de redes (SNMP).

Atividades de extensão: Desenvolvimento de propostas e elementos que possam assessorar na administração de redes de computadores. A carga horária corresponde a 30 horas."
Tópicos Avançados em Computação de Alto Desempenho,SSC0159,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Ensinar aos alunos tópicos avançados da computação de alto desempenho, considerando arquiteturas paralelas avançadas e ferramentas de desenvolvimento de programas concorrentes. Relacionar aspectos teóricos e práticos durante o desenvolvimento de aplicações paralelas com qualidade e desempenho.","Escopo da computação de alto desempenho: contexto, motivação, objetivos, conceitos e recursos necessários.
Arquiteturas paralelas avançadas: organização e arquitetura de CPUs &amp; memórias, redes de interconexão e avaliação de desempenho de arquiteturas paralelas.
Tópicos avançados de software concorrente: desenvolvimento de aplicações de alto desempenho utilizando técnicas avançadas de programação concorrente, uso simultâneo de diferentes paradigmas de comunicação e sincronização de processos, ferramentas de software para o desenvolvimento de aplicações de alto desempenho. Avaliação de desempenho de tais aplicações.
Teste de programas concorrentes: defeitos típicos em programas concorrentes, como empregar técnicas de teste em programas concorrentes, o problema do não determinismo, geração de diferentes sequências de sincronização, execução de sessões de teste usando ferramentas de teste para programas concorrentes."
Avaliação de Desempenho de Sistemas Computacionais,SSC0643,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Estudo e aplicação de diferentes técnicas de modelagem e ferramentas para avaliação de desempenho de sistemas computacionais.,"Medidas de desempenho: orientadas a usuário e orientadas ao sistema; técnicas de aferição para avaliação de desempenho: monitores de hardware e de software, benchmarks, protótipos; processos estocásticos, técnicas de modelagem: representação de um modelo, solução analítica, solução por simulação; estudo de casos."
Sistemas Evolutivos e Aplicados à Robótica,SSC0713,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Introduzir conceitos básicos de sistemas evolutivos e suas aplicações em problemas do mundo real com destaque para área de robótica. Desenvolver habilidades de modelagem de sistemas de variada complexidade em que a robótica se aplica: sistemas típicos de engenharia, biológicos e sociais. A disciplina busca que os alunos adquiram capacidade de construir soluções eficientes para problemas complexos em robótica, bem como em áreas correlacionadas.","Introdução à visão sistêmica. Tipos de sistemas evolutivos. Técnicas de modelagem de sistemas e representações direta, indireta e mista. Principais algoritmos evolutivos da literatura. Aplicações no mundo real (mercado financeiro, bioinformática, escalonamento de tarefas e planejamento de linha de produção em indústrias) e em robótica (síntese automatizada de sistema como antenas, controladores; teste e verificação de microprocessadores, processamento de sinais, visão computacional e navegação de robôs).

Atividades de extensão: Projetos que resolvam problemas fora da USP. Feiras ou atividades para a sociedade. A carga horária corresponde a 10 horas."
Sensores Inteligentes,SSC0715,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Capacitar os alunos a lidar com a integração de conceitos teórico-práticos para a utilização de sensores e atuadores aplicados à robótica. Serão abordadas técnicas de fusão de sensores, extração de características, filtragem e classificação de dados e técnicas de tomada de decisão.","Estudo e implementação de modelos de sensores e atuadores inteligentes e suas aplicações na robótica. Implementação de algoritmos de estimação, classificação e filtragem de dados. Sistemas híbridos para processamento de dados dos sensores. Aplicação de técnicas de tomada de decisão em função de dados obtidos de sensores. Explicitar o desenvolvimento de projetos de laboratórios."
Engenharia de Software para Sistemas Embarcados,SSC0720,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Oferecer uma visão geral do processo de desenvolvimento de software embarcado, enfatizando as características dessa categoria de software.","Visão geral de Engenharia de Software, história dos Sistemas Embarcados, características e conceitos básicos, desenvolvimento de software para sistemas embarcados (engenharia de requisitos, modelagem, aspectos de Implementação, validação, verificação e teste), dependabilidade,  segurança, apoio em tempo de execução (configuração e reconfiguração, mobilidade, localização, awareness), desenvolvimento de um projeto."
Sistemas Educacionais Avançados,SSC0724,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Oferecer os fundamentos pedagógicos e computacionais para o desenvolvimento sistemas educacionais avançados. Espera-se que o aluno obtenha conhecimentos sobre como as diversas áreas da computação contribuem para resolver problemas educacionais (e.g. geração de conteúdo, tutoria inteligentes e avaliação automática) e como a área da educação pode favorecer o avanço da pesquisa e desenvolvimento na área de computação (e.g. novos algoritmos, melhores interfaces e técnicas de interação humano-computador, etc). Ao final da disciplina o aluno deverá ser capaz de mapear e implementar aspectos instrucionais e pedagógocos em sistemas computacionais. O aluno também será capaz de analisar e desenvolver sistemas educacionais e objetos de aprendizagem utilizando o estado da arte da tecnologia vigente para diferentes domínios do conhecimento (e.g. matemática, português ou computação).  Espera-se também que o aluno trabalhe as habilidades de especificar, prototipar, analisar, projetar, implementar, testar e avaliar sistemas educacionais avançados em situações reais de uso. O aluno também deve ser capaz de realizar pesquisas científicas dentro desta temática.","Fundamentos básicos sobre teorias instrucionais, educacionais e da aprendizagem humana. Engenharia de Software Educacional (métodos e processos para desenvolvimento de sistemas educacionais, linhas de produto para autoria de conteúdo, etc). Educação a Distância. Aprendizagem Colaborativas com Suporte Educacional (CSCL). Objetos de aprendizagem. Desenvolvimento de jogos educacionais. Aprendizagem móvel (mlearning) e ubíqua. Usabilidade e IHC para sistemas educacionais. Mineração de dados educacionais. Sistemas tutores inteligentes. Inteligência Artificial na Educação. Web Social e Web Semântica (e.g. ontologias) na Educação. Computação efetiva em sistemas educacionais. Tecnologia e empreendedorismo social. Metodologia de pesquisa científica para o planejamento, implementação e validação (definição de experimentos e análise de dados) de software educacional."
Reuso de Software,SSC0726,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Aprofundar os conhecimentos em conceitos relacionados ao reúso de software, bem como metodologias, tecnologias e ferramentas de apoio ao reuso.","A disciplina oferecerá aos alunos uma introdução aos conceitos gerais envolvidos na reutilização de software. Em seguida, as várias técnicas, métodos e ferramentas específicos para apoio à reutilização serão aprofundados. Entre eles estão: desenvolvimento baseado em componentes (DBC), desenvolvimento orientado a aspectos (POA), desenvolvimento de linhas de produtos de software (LPS), geradores de aplicações, arquitetura orientada a serviços (SOA), desenvolvimento orientado a modelos (MDD) e sistema-de-sistemas (SoS)."
Projeto e Implementação de Sistemas Embarcados I,SSC0741,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Destacar metodologias que favoreçam o projeto de sistemas embarcados em tempo real adequados à complexidade atual das aplicações, que inclui conceitos como o re-uso de projetos (core), verificação formal e implementação de software.","Desenvolvimento de projetos em Alto Nível através de Linguagens de Descrição de Hardware (VHDL, Verilog), Máquina Finita de Estados, RTL (Register Transfer Level), em dispositivos como Field Programmable Gate Array (FPGA). São considerados Co-Projetos de Hardware/Software em ambientes System-on-Chip enfocando CORE e IP para o re-uso de sistemas. Para esses estudos são considerados os usos das ferramentas EDA (Eletronic Design Automation) da Xilinx e Altera. Considerações sobre: co-projeto de hardware/software; engenharia de software para o sistema; questões de sincronização de clock; protocolo de comunicação; escalonamento; RTOS (Real Time Operating System); validação e verificação; tolerância à falhas; programando sensores e atuadores; simulação, ferramentas EDA, ambiente distribuído."
Computação Distribuída,SSC0744,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Aprofundar os conhecimentos adquiridos na disciplina Sistemas Computacionais Distribuídos e Programação Concorrente, através de uma abordagem prática.",Revisão e aplicação prática dos conceitos de Sistemas Computacionais Distribuídos e Programação Concorrente.
Sistemas Computacionais de Tempo-Real,SSC0745,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Introduzir o aluno aos aspectos conceituais e tecnológicos associados ao projeto e avaliação de sistemas computacionais com requisitos de tempo-real.,"Conceitos essenciais em sistemas de tempo-real: requisitos temporais, medidas de tempo e relógios, sincronização temporal, medidas de atraso. Categorias de sistemas de tempo-real e especificidades: hard, firm, soft RT.  Problemas e soluções em software e hardware de tempo-real: determinismo temporal, latência,  eventos síncronos vs assíncronos, escalonamento de tarefas.  Aplicações de tempo-real: sistemas operacionais, linguagens de programação, técnicas de avaliação analíticas e de simulação."
Redes Móveis,SSC0748,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Apresentar os conceitos básicos em mobilidade, tecnologias de redes móveis sem fio e em projetos de sistemas baseados em localização.","Introdução; fundamentos de transmissão, redes de comunicação, protocolos; Tecnologias básicas: antenas, codificação de sinais, uso espectral; Redes sem-fio: satélites, redes de celulares, WLL, Móbile IP, WAP; LANs sem-fio: bluetooth, Wifi, WiMax, outros padrões."
Laboratório de Engenharia de Segurança,SSC0901,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Fornecer aos alunos uma visão ampla e prática sobre segurança computacional.,"Estudos de caso (exploração de técnicas e contramedidas em laboratório) – Laboratório de IPSEC-Racoon; Laboratório de Portscan; Laboratório de HoneyPot; Laboratório de Snort; Laboratório de Proxy Squid; Laboratório de Proxy. Técnicas de ataque e contramedidas: Introdução à exploração de falhas; Exploração de serviço vulnerável – vsFTPd; Escalação de Privilégios – Buffer Overflow; Heap Overflow; Explorando aplicações Web; Pentest; Vulnerabilidade BlueBorne.

Atividades de extensão: Disponibilização de material didático. A carga horária corresponde a 15 horas."
Internet das Coisas,SSC0952,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Transmitir aos alunos conceitos sobre Internet das Coisas, considerando seus aspectos relacionados ao hardware e ao software, com vistas ao desenvolvimento de aplicações inovadoras para a resolução de problemas do mundo real.","Introdução à Internet das Coisas: Conceitos, Histórico, Principais Tecnologias, Arquiteturas, Aplicações, Evolução;
Introdução ao BigData: Princípios Introdutórios e suas propriedades. Conceitos relacionados à variedade, volume e velocidade de acesso aos dados. Infraestutura e técnicas para a extração de grandes volumes de dados. Ferramentas web para remotamente analisar dados;
Introdução ao Cloud Computing: Apresentação de Conceitos fundamentais de computação em nuvem, considerando aspectos teóricos e práticos;
Sustentabilidade e Tecnologias Digitais: Conceitos, Desafios, Data Center Verde, Aspesctos Sociais e Financeiros;
Requisistos e Infraestrutura para IoT (Hardware e Software): Metodologias para especificação, projeto e execução. Introdução aos Sistemas Embarcados. Controle de Sistemas Eletrônicos pela Internet. Middlewares para IoT;
Redes de Sensores e Tecnologias de Comunicação: Introdução aos conceitos de RSSF;
Tecnologias de Rastreamento: Introdução ao rastreamento e suas técnicas, aplicações e serviços;
Desenvolvimento de Aplicações para IoT: Apresentar soluções de mercado em diversas áreas, incluindo o setor publico (saúde, educação, patrimônio) e privado: logistica, energia, etc. Estudo de casos reais de sistemas desenvolvidos no mundo. Discussões sobre o planejamento de uma aplicação envolvendo as áreas acima citadas; 
Avaliação de Desempenho de Sistemas Computacionais para IoT: Planejamento de Experimentos, Configuração do Ambiente, Execução de Experimentos e Análise dos Resultados.

Atividades de extensão: Desenvolver soluções que podem ser aplicadas e ambientes públicos tornando-os ambientes smart. A carga horária corresponde a 30 horas."
Criptomoedas e Blockchain,SSC0958,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Prover ao aluno uma visão geral do estado da arte em criptomoedas, bem como o  aprofundamento das principais plataformas do livro-razão distribuído como a Blockchain.  Aplicações descentralizadas baseadas em contratos inteligentes também serão estudadas  ao longo do curso.","- Propriedades de segurança como privacidade, autenticação e integridade - Criptografia simétrica e assimétrica 
- Introdução ao livro-razão distribuído (DLT) 
- As principais implementações da blockchain 
- Bitcoin 
- Ethereum 
- Tipos de blockchain como privado, público, permissionado e não-permissionado - Transações e o teorema de CAP 
- Protocolos de consenso 
- Tolerância a falhas bizantinas 
- Prova de Trabalho (PoW) 
- Prova de Participação (PoS) 
- Criptomoedas 
- Teoria (o que é, taxa de emissão, vantagens, lastro) 
- Aspectos de implementação 
- Tópicos emergentes em criptomoedas e DLTs 
- Tópicos emergentes (p.ex., NFT, DeFi, o que houver na época do estudo) - As criptomoedas emergentes
- Contratos Inteligentes 
- Definição 
- Aspectos de implementação 
- Principais aplicações 
- Organização autônoma descentralizada (DAO) 
- Teoria 
- Principais aplicações"
Projeto em Intercâmbio I,SCC0289,Disciplinas Optativas Eletivas,9º Semestre Ideal,SCC0290,O objetivo desta disciplina é o de permitir ao estudante que desenvolva atividades relevantes para sua formação em empresas ou universidades/centros de pesquisa durante período de intercâmbio oficialmente reconhecido.,"Para os alunos que optarem por um estágio em uma empresa, sob responsabilidade do supervisor na empresa, o objeto específico é permitir que o aluno se familiarize com o ambiente onde deverá exercer sua profissão e dar-lhe uma visão mais abrangente da área e a possibilidade de trabalhar junto a uma equipe desenvolvendo um projeto real da prática profissional. Para os alunos que optarem por projeto de graduação, sob responsabilidade de um pesquisador/professor na universidade/centro de pesquisa, o objetivo é o de desenvolver no estudante o espírito, a mentalidade de pesquisa e a capacidade de síntese, permitindo o desenvolvimento de uma visão mais global da área de Computação através da elaboração de um projeto de pesquisa. Em ambos os casos, o aluno deve preparar monografia detalhada com o relato das atividades e apresenta-las formalmente, sendo avaliado pelo docente da disciplina."
Projeto de Graduação I,SCC0293,Disciplinas Optativas Eletivas,9º Semestre Ideal,SCC0294,"Para os alunos que optarem por projeto de graduação, o objetivo desta disciplina é o de desenvolver no estudante o espírito, a mentalidade de pesquisa e a capacidade de síntese. Permitir o desenvolvimento de uma visão mais global das áreas de Ciência de Computação ou Matemática Computacional através da elaboração de um projeto assistido por docente.","Para os alunos que optarem por projeto de graduação, elaboração de um projeto em Ciências de Computação ou Matemática Computacional, sob a orientação de docente da USP, da área de computação, ou de docente de outra Instituição de Ensino Superior desde que autorizado pelo coordenador do curso. O Projeto deve compreender as fases de especificação e implementação e, quando for o caso, levantamento bibliográfico deve ser feito. Ao final deve ser escrita uma monografia pormenorizada do projeto."
Projeto Empreendedor I,SCC0300,Disciplinas Optativas Eletivas,9º Semestre Ideal,,"Permitir que o aluno demonstre capacidade empreendedora, descrevendo e documentando projetos desenvolvidos por empresa formalmente constituída, da qual ele é sócio atuante.","Descrição de projeto desenvolvido ou de um texto sistematizando a atuação de uma empresa formalmente constituída, da qual o aluno deve ser sócio atuante há pelo menos um ano. O aluno deverá ter a orientação de um professor supervisor. A empresa deve atuar na área de computação. Ao final deve ser escrita uma monografia pormenorizada do projeto."
Mineração Estatística de Dados,SME0878,Disciplinas Optativas Eletivas,9º Semestre Ideal,,"Apresentar ao aluno os principais conceitos e técnicas de mineração estatística de dados. A teoria será desenvolvida com aplicações em várias área do conhecimento, dentre as quais, biologia, economia, engenharia, finanças e medicina.","Introdução à mineração de dados. Mineração de dados e análise estatística. Importância do banco de dados. O Processo KDD. Procedimentos de segmentação de base. Sumarização. Modelos supervisionados de classificação. Modelos pontuais e predição, regressão logística, regressão probito, regressão logística limitada. Modelos temporais de predição; estimadores empíricos da função de sobrevivência e da função de risco, modelos paramétricos básicos, estimação, compração de modelos. Medidas de capacidade preditiva. Análise de associação. Análise de Agrupamentos. Redução de dimensionalidade. Seleção de atributos. Combinação de classificadores.

Atividades de extensão: Desenvolvimento de projetos práticos de interesse da sociedade ou de um pesquisador/empresa, para serem conduzidos por Problem-based Learning (PBL), captado pelo Núcleo de Estatística Aplicada (NEA), Centro de Ciências Matemáticas Aplicadas à Industria (CeMEAI) ou outros centros de pesquisa. Estas atividades correspondem a 60 horas de atividades de extensão.
A disciplina poderá ser oferecida de forma híbrida, sendo parte das atividades desenvolvidas remotamente."
Projeto em Intercâmbio II,SCC0290,Disciplinas Optativas Eletivas,10º Semestre Ideal,,O objetivo desta disciplina é o de permitir ao estudante que desenvolva atividades relevantes para sua formação em empresas ou universidades/centros de pesquisa durante período de intercâmbio oficialmente reconhecido.,"Para os alunos que optarem por um estágio em uma empresa, sob responsabilidade do supervisor na empresa, o objeto específico é permitir que o aluno se familiarize com o ambiente onde deverá exercer sua profissão e dar-lhe uma visão mais abrangente da área e a possibilidade de trabalhar junto a uma equipe desenvolvendo um projeto real da prática profissional. Para os alunos que optarem por projeto de graduação, sob responsabilidade de um pesquisador/professor na universidade/centro de pesquisa, o objetivo é o de desenvolver no estudante o espírito, a mentalidade de pesquisa e a capacidade de síntese, permitindo o desenvolvimento de uma visão mais global da área de Computação através da elaboração de um projeto de pesquisa. Em ambos os casos, o aluno deve preparar monografia detalhada com o relato das atividades e apresenta-las formalmente, sendo avaliado pelo docente da disciplina."
Projeto de Graduação II,SCC0294,Disciplinas Optativas Eletivas,10º Semestre Ideal,,"Para os alunos que optarem por projeto de graduação, o objetivo desta disciplina é o de desenvolver no estudante o espírito, a mentalidade de pesquisa e a capacidade de síntese. Permitir o desenvolvimento de uma visão mais global das áreas de Ciência de Computação ou Matemática Computacional através da elaboração de um projeto assistido por docente.","Para os alunos que optarem por projeto de graduação, elaboração de um projeto em Ciências de Computação ou Matemática Computacional, sob a orientação de docente da USP, da área de computação, ou de docente de outra Instituição de Ensino Superior desde que autorizado pelo coordenador do curso. O Projeto deve compreender as fases de especificação e implementação e, quando for o caso, levantamento bibliográfico deve ser feito. Ao final deve ser escrita uma monografia pormenorizada do projeto."
